# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan  3 22:48:10 2017
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN alt_name:       Confirmed Name
# COLUMN tm_designation: 2MASS Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN koi_list_flag:  Is in KOI List?
# COLUMN last_update:    Date of Last Update
#
rowid,kepid,kepoi_name,kepler_name,alt_name,tm_designation,ra_str,ra,dec_str,dec,koi_list_flag,last_update
424,11669239,K00542.02,Kepler-180 b,Kepler-180 b,2MASS J19421712+4946285,19h42m17.12s,295.571350,+49d46m28.5s,49.774578,YES,2014-02-26 0
425,11669239,K00542.01,Kepler-180 c,Kepler-180 c,2MASS J19421712+4946285,19h42m17.12s,295.571350,+49d46m28.5s,49.774578,YES,2014-02-26 0
426,11823054,K00543.02,Kepler-181 b,Kepler-181 b,2MASS J19443633+5005449,19h44m36.34s,296.151400,+50d05m44.9s,50.095810,YES,2014-02-26 0
427,11823054,K00543.01,Kepler-181 c,Kepler-181 c,2MASS J19443633+5005449,19h44m36.34s,296.151400,+50d05m44.9s,50.095810,YES,2014-02-26 0
428,12058931,K00546.02,Kepler-182 b,Kepler-182 b,2MASS J19191922+5035104,19h19m19.23s,289.830110,+50d35m10.5s,50.586239,YES,2014-02-26 0
429,12058931,K00546.01,Kepler-182 c,Kepler-182 c,2MASS J19191922+5035104,19h19m19.23s,289.830110,+50d35m10.5s,50.586239,YES,2014-02-26 0
430,4270253,K00551.02,Kepler-183 b,Kepler-183 b,2MASS J19340740+3918572,19h34m07.40s,293.530850,+39d18m57.2s,39.315891,YES,2014-02-26 0
431,4270253,K00551.01,Kepler-183 c,Kepler-183 c,2MASS J19340740+3918572,19h34m07.40s,293.530850,+39d18m57.2s,39.315891,YES,2014-02-26 0
432,7445445,K00567.01,Kepler-184 b,Kepler-184 b,2MASS J19274845+4304289,19h27m48.46s,291.951900,+43d04m29.0s,43.074711,YES,2014-02-26 0
433,7445445,K00567.02,Kepler-184 c,Kepler-184 c,2MASS J19274845+4304289,19h27m48.46s,291.951900,+43d04m29.0s,43.074711,YES,2014-02-26 0
434,7445445,K00567.03,Kepler-184 d,Kepler-184 d,2MASS J19274845+4304289,19h27m48.46s,291.951900,+43d04m29.0s,43.074711,YES,2014-02-26 0
435,8008206,K00569.02,Kepler-185 b,Kepler-185 b,2MASS J18495234+4353236,18h49m52.35s,282.468110,+43d53m23.7s,43.889912,YES,2014-02-26 0
436,8008206,K00569.01,Kepler-185 c,Kepler-185 c,2MASS J18495234+4353236,18h49m52.35s,282.468110,+43d53m23.7s,43.889912,YES,2014-02-26 0
437,8120608,K00571.03,Kepler-186 b,Kepler-186 b,2MASS J19543665+4357180,19h54m36.65s,298.652710,+43d57m18.1s,43.955021,YES,2014-02-26 0
438,8120608,K00571.01,Kepler-186 c,Kepler-186 c,2MASS J19543665+4357180,19h54m36.65s,298.652710,+43d57m18.1s,43.955021,YES,2014-02-26 0
439,8120608,K00571.02,Kepler-186 d,Kepler-186 d,2MASS J19543665+4357180,19h54m36.65s,298.652710,+43d57m18.1s,43.955021,YES,2014-02-26 0
440,8120608,K00571.04,Kepler-186 e,Kepler-186 e,2MASS J19543665+4357180,19h54m36.65s,298.652710,+43d57m18.1s,43.955021,YES,2014-02-26 0
441,8120608,K00571.05,Kepler-186 f,Kepler-186 f,2MASS J19543665+4357180,19h54m36.65s,298.652710,+43d57m18.1s,43.955021,YES,2014-04-16 0
442,8193178,K00572.02,Kepler-187 b,Kepler-187 b,2MASS J19591114+4405215,19h59m11.15s,299.796450,+44d05m21.5s,44.089310,YES,2014-02-26 0
443,8193178,K00572.01,Kepler-187 c,Kepler-187 c,2MASS J19591114+4405215,19h59m11.15s,299.796450,+44d05m21.5s,44.089310,YES,2014-02-26 0
444,8344004,K00573.02,Kepler-188 b,Kepler-188 b,2MASS J18450713+4418559,18h45m07.13s,281.279720,+44d18m55.9s,44.315529,YES,2014-02-26 0
445,8344004,K00573.01,Kepler-188 c,Kepler-188 c,2MASS J18450713+4418559,18h45m07.13s,281.279720,+44d18m55.9s,44.315529,YES,2014-02-26 0
446,8355239,K00574.02,Kepler-189 b,Kepler-189 b,2MASS J19101553+4418180,19h10m15.54s,287.564730,+44d18m18.0s,44.305000,YES,2014-02-26 0
447,8355239,K00574.01,Kepler-189 c,Kepler-189 c,2MASS J19101553+4418180,19h10m15.54s,287.564730,+44d18m18.0s,44.305000,YES,2014-02-26 0
448,8616637,K00579.01,Kepler-190 b,Kepler-190 b,2MASS J19142016+4444016,19h14m20.17s,288.584050,+44d44m01.7s,44.733799,YES,2014-02-26 0
449,8616637,K00579.02,Kepler-190 c,Kepler-190 c,2MASS J19142016+4444016,19h14m20.17s,288.584050,+44d44m01.7s,44.733799,YES,2014-02-26 0
450,9020160,K00582.03,Kepler-191 b,Kepler-191 b,2MASS J19244401+4519234,19h24m44.01s,291.183380,+45d19m23.4s,45.323170,YES,2014-02-26 0
451,9020160,K00582.02,Kepler-191 c,Kepler-191 c,2MASS J19244401+4519234,19h24m44.01s,291.183380,+45d19m23.4s,45.323170,YES,2014-02-26 0
452,9020160,K00582.01,Kepler-191 d,Kepler-191 d,2MASS J19244401+4519234,19h24m44.01s,291.183380,+45d19m23.4s,45.323170,YES,2016-05-10 0
453,9146018,K00584.01,Kepler-192 b,Kepler-192 b,2MASS J19114030+4535343,19h11m40.30s,287.917910,+45d35m34.3s,45.592869,YES,2014-02-26 0
454,9146018,K00584.02,Kepler-192 c,Kepler-192 c,2MASS J19114030+4535343,19h11m40.30s,287.917910,+45d35m34.3s,45.592869,YES,2014-02-26 0
455,9146018,K00584.03,Kepler-192 d,Kepler-192 d,2MASS J19114030+4535343,19h11m40.30s,287.917910,+45d35m34.3s,45.592869,YES,2016-05-10 0
456,9782691,K00590.01,Kepler-193 b,Kepler-193 b,2MASS J19455966+4634380,19h45m59.66s,296.498600,+46d34m38.1s,46.577240,YES,2014-02-26 0
457,9782691,K00590.02,Kepler-193 c,Kepler-193 c,2MASS J19455966+4634380,19h45m59.66s,296.498600,+46d34m38.1s,46.577240,YES,2014-02-26 0
458,10600261,K00597.02,Kepler-194 b,Kepler-194 b,2MASS J19275314+4751510,19h27m53.15s,291.971440,+47d51m51.0s,47.864170,YES,2014-02-26 0
459,10600261,K00597.01,Kepler-194 c,Kepler-194 c,2MASS J19275314+4751510,19h27m53.15s,291.971440,+47d51m51.0s,47.864170,YES,2014-02-26 0
460,10600261,K00597.03,Kepler-194 d,Kepler-194 d,2MASS J19275314+4751510,19h27m53.15s,291.971440,+47d51m51.0s,47.864170,YES,2014-02-26 0
461,10656823,K00598.01,Kepler-195 b,Kepler-195 b,2MASS J19122903+4758000,19h12m29.03s,288.120970,+47d58m00.0s,47.966671,YES,2014-02-26 0
462,10656823,K00598.02,Kepler-195 c,Kepler-195 c,2MASS J19122903+4758000,19h12m29.03s,288.120970,+47d58m00.0s,47.966671,YES,2014-02-26 0
463,6587002,K00612.01,Kepler-196 b,Kepler-196 b,2MASS J18595244+4204451,18h59m52.44s,284.968510,+42d04m45.1s,42.079201,YES,2014-02-26 0
464,6587002,K00612.02,Kepler-196 c,Kepler-196 c,2MASS J18595244+4204451,18h59m52.44s,284.968510,+42d04m45.1s,42.079201,YES,2014-02-26 0
465,12068975,K00623.03,Kepler-197 b,Kepler-197 b,2MASS J19405434+5033323,19h40m54.35s,295.226440,+50d33m32.3s,50.558979,YES,2014-02-26 0
466,12068975,K00623.01,Kepler-197 c,Kepler-197 c,2MASS J19405434+5033323,19h40m54.35s,295.226440,+50d33m32.3s,50.558979,YES,2014-02-26 0
467,12068975,K00623.02,Kepler-197 d,Kepler-197 d,2MASS J19405434+5033323,19h40m54.35s,295.226440,+50d33m32.3s,50.558979,YES,2014-02-26 0
468,12068975,K00623.04,Kepler-197 e,Kepler-197 e,2MASS J19405434+5033323,19h40m54.35s,295.226440,+50d33m32.3s,50.558979,YES,2014-02-26 0
469,3541946,K00624.01,Kepler-198 b,Kepler-198 b,2MASS J19224155+3841276,19h22m41.55s,290.673130,+38d41m27.6s,38.691010,YES,2014-02-26 0
470,3541946,K00624.02,Kepler-198 c,Kepler-198 c,2MASS J19224155+3841276,19h22m41.55s,290.673130,+38d41m27.6s,38.691010,YES,2014-02-26 0
471,3541946,K00624.03,Kepler-198 d,Kepler-198 d,2MASS J19224155+3841276,19h22m41.55s,290.673130,+38d41m27.6s,38.691010,YES,2016-05-10 0
472,5113822,K00638.01,Kepler-199 b,Kepler-199 b,2MASS J19421426+4014105,19h42m14.26s,295.559420,+40d14m10.6s,40.236271,YES,2014-02-26 0
473,5113822,K00638.02,Kepler-199 c,Kepler-199 c,2MASS J19421426+4014105,19h42m14.26s,295.559420,+40d14m10.6s,40.236271,YES,2014-02-26 0
474,5941160,K00654.01,Kepler-200 b,Kepler-200 b,2MASS J18573837+4114148,18h57m38.38s,284.409910,+41d14m14.9s,41.237461,YES,2014-02-26 0
475,5941160,K00654.02,Kepler-200 c,Kepler-200 c,2MASS J18573837+4114148,18h57m38.38s,284.409910,+41d14m14.9s,41.237461,YES,2014-02-26 0
476,5966154,K00655.01,Kepler-201 b,Kepler-201 b,2MASS J19343024+4116221,19h34m30.25s,293.626040,+41d16m22.2s,41.272820,YES,2014-02-26 0
477,5966154,K00655.02,Kepler-201 c,Kepler-201 c,2MASS J19343024+4116221,19h34m30.25s,293.626040,+41d16m22.2s,41.272820,YES,2014-02-26 0
478,6020753,K00657.01,Kepler-202 b,Kepler-202 b,2MASS J18515362+4119192,18h51m53.62s,282.973420,+41d19m19.2s,41.322010,YES,2014-02-26 0
479,6020753,K00657.02,Kepler-202 c,Kepler-202 c,2MASS J18515362+4119192,18h51m53.62s,282.973420,+41d19m19.2s,41.322010,YES,2014-02-26 0
480,6062088,K00658.01,Kepler-203 b,Kepler-203 b,2MASS J19482159+4123169,19h48m21.60s,297.090000,+41d23m16.9s,41.388031,YES,2014-02-26 0
481,6062088,K00658.02,Kepler-203 c,Kepler-203 c,2MASS J19482159+4123169,19h48m21.60s,297.090000,+41d23m16.9s,41.388031,YES,2014-02-26 0
482,6062088,K00658.03,Kepler-203 d,Kepler-203 d,2MASS J19482159+4123169,19h48m21.60s,297.090000,+41d23m16.9s,41.388031,YES,2014-02-26 0
483,6347299,K00661.01,Kepler-204 b,Kepler-204 b,2MASS J19012332+4145429,19h01m23.33s,285.347200,+41d45m42.9s,41.761921,YES,2014-02-26 0
484,6347299,K00661.02,Kepler-204 c,Kepler-204 c,2MASS J19012332+4145429,19h01m23.33s,285.347200,+41d45m42.9s,41.761921,YES,2014-02-26 0
485,6425957,K00663.01,Kepler-205 b,Kepler-205 b,2MASS J19010890+4151402,19h01m08.91s,285.287110,+41d51m40.2s,41.861172,YES,2014-02-26 0
486,6425957,K00663.02,Kepler-205 c,Kepler-205 c,2MASS J19010890+4151402,19h01m08.91s,285.287110,+41d51m40.2s,41.861172,YES,2014-02-26 0
487,6442340,K00664.02,Kepler-206 b,Kepler-206 b,2MASS J19263232+4150019,19h26m32.32s,291.634670,+41d50m01.9s,41.833858,YES,2014-02-26 0
488,6442340,K00664.01,Kepler-206 c,Kepler-206 c,2MASS J19263232+4150019,19h26m32.32s,291.634670,+41d50m01.9s,41.833858,YES,2014-02-26 0
489,6442340,K00664.03,Kepler-206 d,Kepler-206 d,2MASS J19263232+4150019,19h26m32.32s,291.634670,+41d50m01.9s,41.833858,YES,2014-02-26 0
490,6685609,K00665.02,Kepler-207 b,Kepler-207 b,2MASS J19200732+4209577,19h20m07.32s,290.030520,+42d09m57.8s,42.166050,YES,2014-02-26 0
491,6685609,K00665.03,Kepler-207 c,Kepler-207 c,2MASS J19200732+4209577,19h20m07.32s,290.030520,+42d09m57.8s,42.166050,YES,2014-02-26 0
492,6685609,K00665.01,Kepler-207 d,Kepler-207 d,2MASS J19200732+4209577,19h20m07.32s,290.030520,+42d09m57.8s,42.166050,YES,2014-02-26 0
493,7040629,K00671.01,Kepler-208 b,Kepler-208 b,2MASS J19353364+4231408,19h35m33.65s,293.890200,+42d31m40.7s,42.527966,YES,2014-02-26 0
494,7040629,K00671.02,Kepler-208 c,Kepler-208 c,2MASS J19353364+4231408,19h35m33.65s,293.890200,+42d31m40.7s,42.527966,YES,2014-02-26 0
495,7040629,K00671.04,Kepler-208 d,Kepler-208 d,2MASS J19353364+4231408,19h35m33.65s,293.890200,+42d31m40.7s,42.527966,YES,2014-02-26 0
496,7040629,K00671.03,Kepler-208 e,Kepler-208 e,2MASS J19353364+4231408,19h35m33.65s,293.890200,+42d31m40.7s,42.527966,YES,2014-02-26 0
497,7115785,K00672.01,Kepler-209 b,Kepler-209 b,2MASS J19244068+4238269,19h24m40.69s,291.169530,+42d38m26.9s,42.640808,YES,2014-02-26 0
498,7115785,K00672.02,Kepler-209 c,Kepler-209 c,2MASS J19244068+4238269,19h24m40.69s,291.169530,+42d38m26.9s,42.640808,YES,2014-02-26 0
499,7447200,K00676.02,Kepler-210 b,Kepler-210 b,2MASS J19300081+4304593,19h30m00.81s,292.503390,+43d04m59.3s,43.083149,YES,2014-02-26 0
500,7447200,K00676.01,Kepler-210 c,Kepler-210 c,2MASS J19300081+4304593,19h30m00.81s,292.503390,+43d04m59.3s,43.083149,YES,2014-02-26 0
501,7509886,K00678.02,Kepler-211 b,Kepler-211 b,2MASS J19014539+4310065,19h01m45.40s,285.439150,+43d10m06.5s,43.168480,YES,2014-02-26 0
502,7509886,K00678.01,Kepler-211 c,Kepler-211 c,2MASS J19014539+4310065,19h01m45.40s,285.439150,+43d10m06.5s,43.168480,YES,2014-02-26 0
503,7515212,K00679.02,Kepler-212 b,Kepler-212 b,2MASS J19102900+4308300,19h10m29.00s,287.620820,+43d08m29.9s,43.141647,YES,2014-02-26 0
504,7515212,K00679.01,Kepler-212 c,Kepler-212 c,2MASS J19102900+4308300,19h10m29.00s,287.620820,+43d08m29.9s,43.141647,YES,2014-02-26 0
505,8557374,K00692.01,Kepler-213 b,Kepler-213 b,2MASS J19231780+4438498,19h23m17.81s,290.824190,+44d38m49.8s,44.647179,YES,2014-02-26 0
506,8557374,K00692.02,Kepler-213 c,Kepler-213 c,2MASS J19231780+4438498,19h23m17.81s,290.824190,+44d38m49.8s,44.647179,YES,2014-02-26 0
507,8738735,K00693.02,Kepler-214 b,Kepler-214 b,2MASS J18590116+4457217,18h59m01.16s,284.754850,+44d57m21.7s,44.956032,YES,2014-02-26 0
508,8738735,K00693.01,Kepler-214 c,Kepler-214 c,2MASS J18590116+4457217,18h59m01.16s,284.754850,+44d57m21.7s,44.956032,YES,2014-02-26 0
509,8962094,K00700.02,Kepler-215 b,Kepler-215 b,2MASS J19395364+4512492,19h39m53.64s,294.973510,+45d12m49.3s,45.213692,YES,2014-02-26 0
510,8962094,K00700.03,Kepler-215 c,Kepler-215 c,2MASS J19395364+4512492,19h39m53.64s,294.973510,+45d12m49.3s,45.213692,YES,2014-02-26 0
511,8962094,K00700.01,Kepler-215 d,Kepler-215 d,2MASS J19395364+4512492,19h39m53.64s,294.973510,+45d12m49.3s,45.213692,YES,2014-02-26 0
512,8962094,K00700.04,Kepler-215 e,Kepler-215 e,2MASS J19395364+4512492,19h39m53.64s,294.973510,+45d12m49.3s,45.213692,YES,2014-02-26 0
513,9530945,K00708.02,Kepler-216 b,Kepler-216 b,2MASS J19345473+4607449,19h34m54.73s,293.728060,+46d07m44.9s,46.129150,YES,2014-02-26 0
514,9530945,K00708.01,Kepler-216 c,Kepler-216 c,2MASS J19345473+4607449,19h34m54.73s,293.728060,+46d07m44.9s,46.129150,YES,2014-02-26 0
515,9590976,K00710.01,Kepler-217 b,Kepler-217 b,2MASS J19320905+4616390,19h32m09.06s,293.037750,+46d16m39.1s,46.277519,YES,2014-02-26 0
516,9590976,K00710.02,Kepler-217 c,Kepler-217 c,2MASS J19320905+4616390,19h32m09.06s,293.037750,+46d16m39.1s,46.277519,YES,2014-02-26 0
517,9590976,K00710.03,Kepler-217 d,Kepler-217 d,2MASS J19320905+4616390,19h32m09.06s,293.037750,+46d16m39.1s,46.277519,YES,2016-05-10 0
518,9597345,K00711.02,Kepler-218 b,Kepler-218 b,2MASS J19413907+4615592,19h41m39.07s,295.412810,+46d15m59.3s,46.266472,YES,2014-02-26 0
519,9597345,K00711.01,Kepler-218 c,Kepler-218 c,2MASS J19413907+4615592,19h41m39.07s,295.412810,+46d15m59.3s,46.266472,YES,2014-02-26 0
520,9597345,K00711.03,Kepler-218 d,Kepler-218 d,2MASS J19413907+4615592,19h41m39.07s,295.412810,+46d15m59.3s,46.266472,YES,2016-05-10 0
521,9884104,K00718.01,Kepler-219 b,Kepler-219 b,2MASS J19145735+4645452,19h14m57.36s,288.738980,+46d45m45.2s,46.762562,YES,2014-02-26 0
522,9884104,K00718.02,Kepler-219 c,Kepler-219 c,2MASS J19145735+4645452,19h14m57.36s,288.738980,+46d45m45.2s,46.762562,YES,2014-02-26 0
523,9884104,K00718.03,Kepler-219 d,Kepler-219 d,2MASS J19145735+4645452,19h14m57.36s,288.738980,+46d45m45.2s,46.762562,YES,2014-02-26 0
524,9950612,K00719.04,Kepler-220 b,Kepler-220 b,2MASS J19260149+4653448,19h26m01.48s,291.506160,+46d53m44.7s,46.895741,YES,2014-02-26 0
525,9950612,K00719.01,Kepler-220 c,Kepler-220 c,2MASS J19260149+4653448,19h26m01.48s,291.506160,+46d53m44.7s,46.895741,YES,2014-02-26 0
526,9950612,K00719.02,Kepler-220 d,Kepler-220 d,2MASS J19260149+4653448,19h26m01.48s,291.506160,+46d53m44.7s,46.895741,YES,2014-02-26 0
527,9950612,K00719.03,Kepler-220 e,Kepler-220 e,2MASS J19260149+4653448,19h26m01.48s,291.506160,+46d53m44.7s,46.895741,YES,2014-02-26 0
528,9963524,K00720.04,Kepler-221 b,Kepler-221 b,2MASS J19463714+4650069,19h46m37.14s,296.654750,+46d50m07.0s,46.835270,YES,2014-02-26 0
529,9963524,K00720.01,Kepler-221 c,Kepler-221 c,2MASS J19463714+4650069,19h46m37.14s,296.654750,+46d50m07.0s,46.835270,YES,2014-02-26 0
530,9963524,K00720.02,Kepler-221 d,Kepler-221 d,2MASS J19463714+4650069,19h46m37.14s,296.654750,+46d50m07.0s,46.835270,YES,2014-02-26 0
531,9963524,K00720.03,Kepler-221 e,Kepler-221 e,2MASS J19463714+4650069,19h46m37.14s,296.654750,+46d50m07.0s,46.835270,YES,2014-02-26 0
532,10002866,K00723.01,Kepler-222 b,Kepler-222 b,2MASS J19113746+4656159,19h11m37.46s,287.906100,+46d56m16.0s,46.937771,YES,2014-02-26 0
533,10002866,K00723.03,Kepler-222 c,Kepler-222 c,2MASS J19113746+4656159,19h11m37.46s,287.906100,+46d56m16.0s,46.937771,YES,2014-02-26 0
534,10002866,K00723.02,Kepler-222 d,Kepler-222 d,2MASS J19113746+4656159,19h11m37.46s,287.906100,+46d56m16.0s,46.937771,YES,2014-02-26 0
535,10227020,K00730.04,Kepler-223 b,Kepler-223 b,2MASS J19531640+4716461,19h53m16.41s,298.318360,+47d16m46.2s,47.279491,YES,2014-02-26 0
536,10227020,K00730.02,Kepler-223 c,Kepler-223 c,2MASS J19531640+4716461,19h53m16.41s,298.318360,+47d16m46.2s,47.279491,YES,2014-02-26 0
537,10227020,K00730.01,Kepler-223 d,Kepler-223 d,2MASS J19531640+4716461,19h53m16.41s,298.318360,+47d16m46.2s,47.279491,YES,2014-02-26 0
538,10227020,K00730.03,Kepler-223 e,Kepler-223 e,2MASS J19531640+4716461,19h53m16.41s,298.318360,+47d16m46.2s,47.279491,YES,2014-02-26 0
539,10271806,K00733.03,Kepler-224 b,Kepler-224 b,2MASS J19234422+4721273,19h23m44.23s,290.934300,+47d21m27.4s,47.357601,YES,2014-02-26 0
540,10271806,K00733.01,Kepler-224 c,Kepler-224 c,2MASS J19234422+4721273,19h23m44.23s,290.934300,+47d21m27.4s,47.357601,YES,2014-02-26 0
541,10271806,K00733.02,Kepler-224 d,Kepler-224 d,2MASS J19234422+4721273,19h23m44.23s,290.934300,+47d21m27.4s,47.357601,YES,2014-02-26 0
542,10271806,K00733.04,Kepler-224 e,Kepler-224 e,2MASS J19234422+4721273,19h23m44.23s,290.934300,+47d21m27.4s,47.357601,YES,2014-02-26 0
543,10340423,K00736.02,Kepler-225 b,Kepler-225 b,2MASS J19284655+4727255,19h28m46.55s,292.193970,+47d27m25.5s,47.457088,YES,2014-02-26 0
544,10340423,K00736.01,Kepler-225 c,Kepler-225 c,2MASS J19284655+4727255,19h28m46.55s,292.193970,+47d27m25.5s,47.457088,YES,2014-02-26 0
545,10601284,K00749.02,Kepler-226 b,Kepler-226 b,2MASS J19293027+4752515,19h29m30.27s,292.376130,+47d52m51.6s,47.880989,YES,2014-02-26 0
546,10601284,K00749.01,Kepler-226 c,Kepler-226 c,2MASS J19293027+4752515,19h29m30.27s,292.376130,+47d52m51.6s,47.880989,YES,2014-02-26 0
547,10601284,K00749.03,Kepler-226 d,Kepler-226 d,2MASS J19293027+4752515,19h29m30.27s,292.376130,+47d52m51.6s,47.880989,YES,2014-02-26 0
548,10797460,K00752.01,Kepler-227 b,Kepler-227 b,2MASS J19274421+4808299,19h27m44.22s,291.934230,+48d08m29.9s,48.141651,YES,2014-02-26 0
549,10797460,K00752.02,Kepler-227 c,Kepler-227 c,2MASS J19274421+4808299,19h27m44.22s,291.934230,+48d08m29.9s,48.141651,YES,2014-02-26 0
550,10872983,K00756.03,Kepler-228 b,Kepler-228 b,2MASS J19450867+4813288,19h45m08.67s,296.286130,+48d13m28.8s,48.224670,YES,2014-02-26 0
551,10872983,K00756.02,Kepler-228 c,Kepler-228 c,2MASS J19450867+4813288,19h45m08.67s,296.286130,+48d13m28.8s,48.224670,YES,2014-02-26 0
552,10872983,K00756.01,Kepler-228 d,Kepler-228 d,2MASS J19450867+4813288,19h45m08.67s,296.286130,+48d13m28.8s,48.224670,YES,2014-02-26 0
553,10910878,K00757.03,Kepler-229 b,Kepler-229 b,2MASS J19075987+4822328,19h07m59.88s,286.999480,+48d22m32.8s,48.375790,YES,2014-02-26 0
554,10910878,K00757.01,Kepler-229 c,Kepler-229 c,2MASS J19075987+4822328,19h07m59.88s,286.999480,+48d22m32.8s,48.375790,YES,2014-02-26 0
555,10910878,K00757.02,Kepler-229 d,Kepler-229 d,2MASS J19075987+4822328,19h07m59.88s,286.999480,+48d22m32.8s,48.375790,YES,2014-02-26 0
556,11018648,K00759.01,Kepler-230 b,Kepler-230 b,2MASS J19025244+4830210,19h02m52.45s,285.718540,+48d30m21.1s,48.505859,YES,2014-02-26 0
557,11018648,K00759.02,Kepler-230 c,Kepler-230 c,2MASS J19025244+4830210,19h02m52.45s,285.718540,+48d30m21.1s,48.505859,YES,2014-02-26 0
558,12066335,K00784.02,Kepler-231 b,Kepler-231 b,2MASS J19355360+5031548,19h35m53.61s,293.973360,+50d31m54.9s,50.531910,YES,2014-02-26 0
559,12066335,K00784.01,Kepler-231 c,Kepler-231 c,2MASS J19355360+5031548,19h35m53.61s,293.973360,+50d31m54.9s,50.531910,YES,2014-02-26 0
560,12366084,K00787.01,Kepler-232 b,Kepler-232 b,2MASS J19431587+5107182,19h43m15.88s,295.816160,+51d07m18.3s,51.121738,YES,2014-02-26 0
561,12366084,K00787.02,Kepler-232 c,Kepler-232 c,2MASS J19431587+5107182,19h43m15.88s,295.816160,+51d07m18.3s,51.121738,YES,2014-02-26 0
562,12470844,K00790.01,Kepler-233 b,Kepler-233 b,2MASS J19452796+5119102,19h45m27.96s,296.366520,+51d19m10.3s,51.319519,YES,2014-02-26 0
563,12470844,K00790.02,Kepler-233 c,Kepler-233 c,2MASS J19452796+5119102,19h45m27.96s,296.366520,+51d19m10.3s,51.319519,YES,2014-02-26 0
564,3342970,K00800.01,Kepler-234 b,Kepler-234 b,2MASS J19263684+3829407,19h26m36.85s,291.653530,+38d29m40.8s,38.494659,YES,2014-02-26 0
565,3342970,K00800.02,Kepler-234 c,Kepler-234 c,2MASS J19263684+3829407,19h26m36.85s,291.653530,+38d29m40.8s,38.494659,YES,2014-02-26 0
566,4139816,K00812.01,Kepler-235 b,Kepler-235 b,2MASS J19041898+3916419,19h04m18.99s,286.079130,+39d16m42.0s,39.278320,YES,2014-02-26 0
567,4139816,K00812.04,Kepler-235 c,Kepler-235 c,2MASS J19041898+3916419,19h04m18.99s,286.079130,+39d16m42.0s,39.278320,YES,2014-02-26 0
568,4139816,K00812.02,Kepler-235 d,Kepler-235 d,2MASS J19041898+3916419,19h04m18.99s,286.079130,+39d16m42.0s,39.278320,YES,2014-02-26 0
569,4139816,K00812.03,Kepler-235 e,Kepler-235 e,2MASS J19041898+3916419,19h04m18.99s,286.079130,+39d16m42.0s,39.278320,YES,2014-02-26 0
570,4725681,K00817.02,Kepler-236 b,Kepler-236 b,2MASS J18552792+3953530,18h55m27.93s,283.866390,+39d53m53.1s,39.898079,YES,2014-02-26 0
571,4725681,K00817.01,Kepler-236 c,Kepler-236 c,2MASS J18552792+3953530,18h55m27.93s,283.866390,+39d53m53.1s,39.898079,YES,2014-02-26 0
572,5252423,K00825.02,Kepler-237 b,Kepler-237 b,2MASS J18525313+4025185,18h52m53.14s,283.221410,+40d25m18.6s,40.421829,YES,2014-02-26 0
573,5252423,K00825.01,Kepler-237 c,Kepler-237 c,2MASS J18525313+4025185,18h52m53.14s,283.221410,+40d25m18.6s,40.421829,YES,2014-02-26 0
574,5436502,K00834.04,Kepler-238 b,Kepler-238 b,2MASS J19113530+4038161,19h11m35.31s,287.897130,+40d38m16.2s,40.637821,YES,2014-02-26 0
575,5436502,K00834.03,Kepler-238 c,Kepler-238 c,2MASS J19113530+4038161,19h11m35.31s,287.897130,+40d38m16.2s,40.637821,YES,2014-02-26 0
576,5436502,K00834.02,Kepler-238 d,Kepler-238 d,2MASS J19113530+4038161,19h11m35.31s,287.897130,+40d38m16.2s,40.637821,YES,2014-02-26 0
577,5436502,K00834.01,Kepler-238 e,Kepler-238 e,2MASS J19113530+4038161,19h11m35.31s,287.897130,+40d38m16.2s,40.637821,YES,2013-12-18 0
578,5436502,K00834.05,Kepler-238 f,Kepler-238 f,2MASS J19113530+4038161,19h11m35.31s,287.897130,+40d38m16.2s,40.637821,YES,2013-12-18 0
579,5456651,K00835.01,Kepler-239 b,Kepler-239 b,2MASS J19364851+4039482,19h36m48.52s,294.202150,+40d39m48.3s,40.663410,YES,2014-02-26 0
580,5456651,K00835.02,Kepler-239 c,Kepler-239 c,2MASS J19364851+4039482,19h36m48.52s,294.202150,+40d39m48.3s,40.663410,YES,2014-02-26 0
581,5531576,K00837.02,Kepler-240 b,Kepler-240 b,2MASS J19243810+4045009,19h24m38.11s,291.158780,+40d45m01.0s,40.750271,YES,2014-02-26 0
582,5531576,K00837.01,Kepler-240 c,Kepler-240 c,2MASS J19243810+4045009,19h24m38.11s,291.158780,+40d45m01.0s,40.750271,YES,2014-02-26 0
583,5794379,K00842.01,Kepler-241 b,Kepler-241 b,2MASS J19313914+4103393,19h31m39.15s,292.913120,+41d03m39.3s,41.060921,YES,2014-02-26 0
584,5794379,K00842.02,Kepler-241 c,Kepler-241 c,2MASS J19313914+4103393,19h31m39.15s,292.913120,+41d03m39.3s,41.060921,YES,2014-02-26 0
585,6428700,K00853.01,Kepler-242 b,Kepler-242 b,2MASS J19061576+4148302,19h06m15.77s,286.565700,+41d48m30.2s,41.808399,YES,2014-02-26 0
